competition,year,topic,name,pages,size,converted,path,sha256
MathorCup,2013,综合,ProblemA（Word转PDF）.pdf,2,197535,True,6-1优秀论文库/MathorCup/2013/综合/ProblemA（Word转PDF）.pdf,bae65e64be222e260f61ee4ffcac12839e34ee3bee5ce77e0ecf3791d6f232c8
MathorCup,2013,B题,B题中文题目（Word转PDF）.pdf,1,150651,True,6-1优秀论文库/MathorCup/2013/B题/B题中文题目（Word转PDF）.pdf,c4affbd626333e41c250245681955f6a6f1c8c87b2aef3e3f82b95da085b97fc
MathorCup,2013,综合,Commitment（Word转PDF）.pdf,1,84270,True,6-1优秀论文库/MathorCup/2013/综合/Commitment（Word转PDF）.pdf,eaba47345b7dfa8b1b3d123cef59013e2ffbab363ee6a2cbb806c91c31d1a89f
MathorCup,2013,综合,Paper（Word转PDF）.pdf,2,41646,True,6-1优秀论文库/MathorCup/第一届（年份待核实）/综合/Paper（Word转PDF）.pdf,51f6371ceed99e8d453179e51f4c0feb3a9b8fba508930e1b24b9543613d3d95
MathorCup,2013,综合,ProblemC（Word转PDF）.pdf,1,179894,True,6-1优秀论文库/MathorCup/2013/综合/ProblemC（Word转PDF）.pdf,df1f4b21da393cfccb532fd47dfbb9f28a0c1b2e7a3b7f2b0bc49f2ccf82f671
MathorCup,2013,C题,论文（Word转PDF）.pdf,2,68511,True,6-1优秀论文库/MathorCup/第一届（年份待核实）/综合/论文（Word转PDF）.pdf,625b50639060f4a35771e61960f70f513394e534f0a2b437d47723055b92c3c2
MathorCup,2014,综合,2014MathorCupNotice（Word转PDF）.pdf,3,110788,True,6-1优秀论文库/MathorCup/2014/综合/2014MathorCupNotice（Word转PDF）-757e6d7f.pdf,757e6d7f713bb186da673d3bf7789db65dfdfa2f20ebad2a6328712388d0a7c9
MathorCup,2014,B题,2014MathorCup竞赛通知（Word转PDF）.pdf,2,132913,True,6-1优秀论文库/MathorCup/2014/B题/2014MathorCup竞赛通知（Word转PDF）.pdf,9b55fc871a68666e1c10ebb36a4874aa0afbc360240d125ba5718c9980a06f13
MathorCup,2014,C题,2014MathorCup竞赛通知（Word转PDF）.pdf,2,132913,True,6-1优秀论文库/MathorCup/2014/C题/2014MathorCup竞赛通知（Word转PDF）.pdf,dcd3091a3eddd7d5567213245ab8983f778fe245fd120d645052d4c0c50a549c
MathorCup,2014,综合,2014MathorCupNotice（Word转PDF）.pdf,3,110788,True,6-1优秀论文库/MathorCup/2014/综合/2014MathorCupNotice（Word转PDF）.pdf,4326863a425337f7968d85742638a30f81f3706540ce487199a999cc9b7ac5ab
MathorCup,2014,综合,2014MathorCupNotice（Word转PDF）.pdf,3,110788,True,6-1优秀论文库/MathorCup/2014/综合/2014MathorCupNotice（Word转PDF）-504653ae.pdf,504653ae5d95e2040482c131968e10666738ba53c68f928933687f7874151690
MathorCup,2014,A题,2014MathorCup竞赛通知（Word转PDF）.pdf,2,132913,True,6-1优秀论文库/MathorCup/2014/A题/2014MathorCup竞赛通知（Word转PDF）.pdf,d8c48db05d931f0f94fc4321e6d60e73f190c014558f635a33e3a401adb723c7
